message_id,channel_name,image_path,detected_objects,confidence_score,image_category
25520,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25520.jpg,person,0.3117,lifestyle
25521,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25521.jpg,"book,cup",0.3382,product_display
25522,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25522.jpg,,0.0,other
25523,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25523.jpg,,0.0,other
25524,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25524.jpg,horse,0.8773,other
25525,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25525.jpg,,0.0,other
25526,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25526.jpg,,0.0,other
25527,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25527.jpg,"orange,orange,bowl,dining table",0.8507,product_display
25528,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25528.jpg,"book,cup",0.3382,product_display
25529,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25529.jpg,,0.0,other
25530,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25530.jpg,,0.0,other
25531,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25531.jpg,horse,0.8773,other
25532,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25532.jpg,"bottle,cake",0.3789,product_display
25533,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25533.jpg,bottle,0.3631,product_display
25534,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25534.jpg,"bottle,bottle",0.8596,product_display
25535,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25535.jpg,,0.0,other
25536,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25536.jpg,"orange,orange,apple",0.7463,other
25537,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25537.jpg,"person,book",0.4573,lifestyle
25538,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25538.jpg,bottle,0.744,product_display
25539,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25539.jpg,bottle,0.8124,product_display
25540,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25540.jpg,bottle,0.8619,product_display
25541,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25541.jpg,bottle,0.713,product_display
25542,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25542.jpg,,0.0,other
25543,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25543.jpg,,0.0,other
25544,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25544.jpg,"book,bottle,refrigerator,bottle",0.2932,product_display
25545,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25545.jpg,refrigerator,0.3814,other
25546,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25546.jpg,,0.0,other
25547,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25547.jpg,,0.0,other
25548,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25548.jpg,,0.0,other
25549,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25549.jpg,,0.0,other
25550,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25550.jpg,person,0.3117,lifestyle
25551,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25551.jpg,"bottle,dining table,bottle,bottle",0.8742,product_display
25552,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25552.jpg,"bottle,bottle,bottle,bottle",0.5591,product_display
25553,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25553.jpg,"book,bottle,refrigerator,bottle",0.2932,product_display
25554,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25554.jpg,,0.0,other
25555,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25555.jpg,,0.0,other
25556,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25556.jpg,cake,0.3029,other
25557,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25557.jpg,,0.0,other
25558,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25558.jpg,refrigerator,0.3814,other
25559,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25559.jpg,,0.0,other
25560,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25560.jpg,"bottle,vase",0.5763,product_display
25561,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25561.jpg,bottle,0.2524,product_display
25562,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25562.jpg,"orange,orange,apple",0.7463,other
25563,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25563.jpg,bottle,0.8124,product_display
25564,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25564.jpg,bottle,0.8619,product_display
25565,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25565.jpg,,0.0,other
25566,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25566.jpg,,0.0,other
25567,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25567.jpg,,0.0,other
25568,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25568.jpg,,0.0,other
25569,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25569.jpg,"traffic light,bottle",0.3134,product_display
25570,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25570.jpg,"person,book",0.4573,lifestyle
25571,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25571.jpg,bottle,0.5939,product_display
25572,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25572.jpg,bottle,0.744,product_display
25573,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25573.jpg,"bottle,book",0.914,product_display
25574,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25574.jpg,clock,0.5797,other
25575,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25575.jpg,cup,0.6387,product_display
25576,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25576.jpg,cup,0.3799,product_display
25577,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25577.jpg,"bottle,bottle,bottle,bottle,bottle,bottle,dining table,bottle",0.9469,product_display
25578,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25578.jpg,bottle,0.3139,product_display
